1000,120,01/06/2021
10200,150,02/06/2021
2500,190,02/06/2021
4000,260,03/06/2021
2350,190,04/06/2021
1500,65,05/06/2021
2642,150,07/06/2021
3500,250,08/06/2021
2200,160,09/06/2021
2200,160,09/06/2021
2200,160,09/06/2021
2200,160,09/06/2021
2200,160,09/06/2021
2200,160,09/06/2021
2200,160,09/06/2021
2200,160,09/06/2021
2200,160,09/06/2021
2200,160,09/06/2021
2200,160,09/06/2021
2200,160,09/06/2021
2200,160,09/06/2021
2200,160,10/06/2021
2200,160,10/06/2021
2200,160,10/06/2021
2200,160,10/06/2021
2200,160,10/06/2021
2200,160,10/06/2021
2200,160,10/06/2021
2200,160,10/06/2021
1200,160,11/06/2021
